date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,clean_review,review_length_clean,clean_title,full_text
06-09-2024,Much more accessible for blind users than the web version,"Up to this point I’ve mostly been using ChatGPT on my windows desktop using Google Chrome. While it’s doable, screen reader navigation is pretty difficult on the desktop site and you really have to be an advanced user to find your way through it. I have submitted numerous feedbacks to open AI about this but nothing has changed on that front.
Well, the good news – the iOS app pretty much addresses all of those problems. The UI seems really clean, uncluttered and designed well to be compatible with voiceover, the screen reader built into iOS. I applaud the inclusivity of this design – I only wish they would give the same attention and care to the accessibility experience of the desktop app.
I would have given this review five stars but I have just a couple minor quibbles. First, once I submit my prompt, voiceover starts to read aloud ChatGPT‘s response before that response is finished, so I will hear the first few words of the response followed by voiceover reading aloud the “stop generating” button, which isn’t super helpful. It would be great if you could better coordinate this alert so that it didn’t start reading the message until it had been fully generated. The other thing I’d like is a Feedback button easily accessible from within the main screen of the app, to make it as easy as possible to get continuing suggestions and feedback from your users.
Otherwise, fantastic app so far!",4,morrowthomas,30,22,Flipkart,ar,Nepal,3.8.4,No,point i’ve mostly using chatgpt window desktop using google chrome it’s doable screen reader navigation pretty difficult desktop site really advanced user find way submitted numerous feedback open nothing changed front well good news io app pretty much address problem seems really clean uncluttered designed well compatible voiceover screen reader built io applaud inclusivity design wish would give attention care accessibility experience desktop app would given review five star couple minor quibble first submit prompt voiceover start read aloud chatgpt‘s response response finished hear first word response followed voiceover reading aloud “stop generating” button isn’t super helpful would great could better coordinate alert didn’t start reading message fully generated thing i’d like feedback button easily accessible within main screen app make easy possible get continuing suggestion feedback user otherwise fantastic app far,132,much accessible blind user web version,much accessible blind user web version point i’ve mostly using chatgpt window desktop using google chrome it’s doable screen reader navigation pretty difficult desktop site really advanced user find way submitted numerous feedback open nothing changed front well good news io app pretty much address problem seems really clean uncluttered designed well compatible voiceover screen reader built io applaud inclusivity design wish would give attention care accessibility experience desktop app would given review five star couple minor quibble first submit prompt voiceover start read aloud chatgpt‘s response response finished hear first word response followed voiceover reading aloud “stop generating” button isn’t super helpful would great could better coordinate alert didn’t start reading message fully generated thing i’d like feedback button easily accessible within main screen app make easy possible get continuing suggestion feedback user otherwise fantastic app far
03-07-2025,"Much anticipated, wasn’t let down.","I’ve been a user since it’s initial roll out and have been waiting for a mobile application ever since using the web app. For reference  I’m a software engineering student while working in IT full time. I have to say GPT is an crucial tool. It takes far less time to get information quickly that you’d otherwise have to source from stack-overflow, various red-hat articles, Ubuntu articles, searching through software documentation, Microsoft documentation ect. Typically chat gpt can find the answer in a fraction of a second that google can. Obviously it is wrong, a lot. But to have the ability to get quick information on my phone like I can in the web browser I’m super excited about and have already been using the mobile app since download constantly. And I’m excited for the future of this program becoming more accurate and it seems to be getting more and more precise with every roll out. Gone are the days scouring the internet for obscure pieces of information, chat gpt can find it for you with 2 or 3 prompts. I love this app and I’m so happy it’s on mobile now. The UI is also very sleek, easy to use. My only complaint with the interface is the history tab at the top right. I actually prefer the conversation tabs on the left in the web app but I understand it would make the app kind of clunky especially on mobile since the screen size is smaller. Anyway, awesome app 5 stars.",4,sheakimberly,120,22,Flipkart,ar,Guinea,5.2.6,Yes,i’ve user since it’s initial roll waiting mobile application ever since using web app reference i’m software engineering student working full time say gpt crucial tool take far less time get information quickly you’d otherwise source stackoverflow various redhat article ubuntu article searching software documentation microsoft documentation ect typically chat gpt find answer fraction second google obviously wrong lot ability get quick information phone like web browser i’m super excited already using mobile app since download constantly i’m excited future program becoming accurate seems getting precise every roll gone day scouring internet obscure piece information chat gpt find prompt love app i’m happy it’s mobile also sleek easy use complaint interface history tab top right actually prefer conversation tab left web app understand would make app kind clunky especially mobile since screen size smaller anyway awesome app star,138,much anticipated wasn’t let,much anticipated wasn’t let i’ve user since it’s initial roll waiting mobile application ever since using web app reference i’m software engineering student working full time say gpt crucial tool take far less time get information quickly you’d otherwise source stackoverflow various redhat article ubuntu article searching software documentation microsoft documentation ect typically chat gpt find answer fraction second google obviously wrong lot ability get quick information phone like web browser i’m super excited already using mobile app since download constantly i’m excited future program becoming accurate seems getting precise every roll gone day scouring internet obscure piece information chat gpt find prompt love app i’m happy it’s mobile also sleek easy use complaint interface history tab top right actually prefer conversation tab left web app understand would make app kind clunky especially mobile since screen size smaller anyway awesome app star
########,"Almost 5 stars, but… no search function","This app would almost be perfect if it wasn’t for ONE little thing: a “search in” function. As anyone can imagine, these AI chats can get quuuuite long, and quite lengthy. And sometimes I wanna go into a chat & look up a specific part or parts of that particular chat by using a search function to look up key words within that chat & track down whatever part I was looking for. For example, in a chat, if I had searched way early into the chat “how do lions hunt?” And say days later, I wanted to revisit that particular response, I wanna be able to go into the actual chat go to a “search in” function and be able to type in key words like “lions” or “hunt” to be able to automatically find that part in the chat instead of having to scroll through a massive chat to find that part. Similar to what you can do in Microsoft Word docs, or even on web browsers. I think the app already kind of has this, but it doesn’t work exactly like that. I tested it out, and all it does is, you type in key words, and it shows you that those words are present in the chat or chats, but it doesn’t actually track it down or take you to that specific part. If this app can have that? It’s an absolute massive perfect winner. Addendum - I also noticed that my phone (iPhone 14 Pro Max) tends to run a little hotter, which I’m sure will affect battery life, when using the app. Just wanted to add that too.",4,katherineali,130,21,Flipkart,es,Kuwait,3.6.5,No,app would almost perfect wasn’t one little thing “search in” function anyone imagine chat get quuuuite long quite lengthy sometimes wanna chat look specific part part particular chat using search function look key word within chat track whatever part looking example chat searched way early chat “how lion hunt” say day later wanted revisit particular response wanna able actual chat “search in” function able type key word like “lions” “hunt” able automatically find part chat instead scroll massive chat find part similar microsoft word doc even web browser think app already kind doesn’t work exactly like tested type key word show word present chat chat doesn’t actually track take specific part app it’s absolute massive perfect winner addendum also noticed phone iphone pro max tends run little hotter i’m sure affect battery life using app wanted add,137,almost star but… search function,almost star but… search function app would almost perfect wasn’t one little thing “search in” function anyone imagine chat get quuuuite long quite lengthy sometimes wanna chat look specific part part particular chat using search function look key word within chat track whatever part looking example chat searched way early chat “how lion hunt” say day later wanted revisit particular response wanna able actual chat “search in” function able type key word like “lions” “hunt” able automatically find part chat instead scroll massive chat find part similar microsoft word doc even web browser think app already kind doesn’t work exactly like tested type key word show word present chat chat doesn’t actually track take specific part app it’s absolute massive perfect winner addendum also noticed phone iphone pro max tends run little hotter i’m sure affect battery life using app wanted add
########,"4.5 stars, here’s why","I recently downloaded the app and overall, it's a great platform with excellent potential. However, I did encounter a couple of issues with logging in that I feel need to be addressed. Firstly, the login process was somewhat cumbersome. It took me a few attempts to successfully log in, as the app didn't always recognize my credentials right away. This could be improved by streamlining the login flow and ensuring a smoother user experience. Secondly, the app occasionally experienced login glitches, where it would unexpectedly log me out without any apparent reason. It was frustrating to have to re-enter my login information repeatedly, disrupting my usage. Despite these issues, I must say that once I managed to log in successfully, the app itself was fantastic. It offers a wide range of features and a sleek user interface that is visually appealing. The content available on the platform is diverse and engaging, keeping me entertained for hours. I do hope the developers take note of the login challenges and work on improving this aspect of the app. With a more reliable login system, this app has the potential to become a top-tier platform. In conclusion, while the app has its share of login issues, it still holds promise. I'm optimistic that with some updates and improvements, it can provide an even better user experience. I look forward to seeing future enhancements and continued growth of the app.",4,eric11,72,26,Amazon,pt,Uruguay,5.7.2,No,recently downloaded app overall great platform excellent potential however encounter couple issue logging feel need addressed firstly login process somewhat cumbersome took attempt successfully log app didnt always recognize credential right away could improved streamlining login flow ensuring smoother user experience secondly app occasionally experienced login glitch would unexpectedly log without apparent reason frustrating reenter login information repeatedly disrupting usage despite issue must say managed log successfully app fantastic offer wide range feature sleek user interface visually appealing content available platform diverse engaging keeping entertained hour hope developer take note login challenge work improving aspect app reliable login system app potential become toptier platform conclusion app share login issue still hold promise optimistic update improvement provide even better user experience look forward seeing future enhancement continued growth app,128,star here’s,star here’s recently downloaded app overall great platform excellent potential however encounter couple issue logging feel need addressed firstly login process somewhat cumbersome took attempt successfully log app didnt always recognize credential right away could improved streamlining login flow ensuring smoother user experience secondly app occasionally experienced login glitch would unexpectedly log without apparent reason frustrating reenter login information repeatedly disrupting usage despite issue must say managed log successfully app fantastic offer wide range feature sleek user interface visually appealing content available platform diverse engaging keeping entertained hour hope developer take note login challenge work improving aspect app reliable login system app potential become toptier platform conclusion app share login issue still hold promise optimistic update improvement provide even better user experience look forward seeing future enhancement continued growth app
########,"Good, but Siri support would take it to the next level","I appreciate the devs implementing Siri support—it is already enhancing the usefulness of the app, despite being a little clunky. I’d prefer if it were possible to make a query in one fell swoop, however. Currently, it seems like I have to say “ask ChatGPT” then wait to be asked what my query is before saying the actual query. I know that it’s possible in other contexts to submit a request to a third-party app through Siri in a single query—I’m able to say “Create a reminder for XYZ in Things,” for example. 

In addition, the responses produced when querying Siri seem identical to those you would get in-app. This isn’t actually ideal in a scenario when you’re getting a spoken response—they just go on for way too long. I wonder if the app could be smart enough to recognize that a request was coming via Siri and then effectively append an invisible “Please answer in less than 50 words” to those requests. 

Otherwise, a solid but basic chat app that closely replicates the web experience. Aside from being uncannily good at punctuating my speech, the dictation feature is not really any different to iOS’s stock dictation and is not all that useful.",4,chloe42,123,27,Amazon,zh,Mayotte,5.8.6,No,appreciate devs implementing siri support—it already enhancing usefulness app despite little clunky i’d prefer possible make query one fell swoop however currently seems like say “ask chatgpt” wait asked query saying actual query know it’s possible context submit request thirdparty app siri single query—i’m able say “create reminder xyz things” example addition response produced querying siri seem identical would get inapp isn’t actually ideal scenario you’re getting spoken response—they way long wonder app could smart enough recognize request coming via siri effectively append invisible “please answer less words” request otherwise solid basic chat app closely replicates web experience aside uncannily good punctuating speech dictation feature really different ios’s stock dictation useful,111,good siri support would take next level,good siri support would take next level appreciate devs implementing siri support—it already enhancing usefulness app despite little clunky i’d prefer possible make query one fell swoop however currently seems like say “ask chatgpt” wait asked query saying actual query know it’s possible context submit request thirdparty app siri single query—i’m able say “create reminder xyz things” example addition response produced querying siri seem identical would get inapp isn’t actually ideal scenario you’re getting spoken response—they way long wonder app could smart enough recognize request coming via siri effectively append invisible “please answer less words” request otherwise solid basic chat app closely replicates web experience aside uncannily good punctuating speech dictation feature really different ios’s stock dictation useful
########,App review,"No doubt, this technology is absolutely life-changing, especially for me. You don’t know how thankful I am. However, I’m not reviewing the underlying technology, I’m reviewing its implementation on iOS. I use it for about 12 hours a day for my work, so I’m a bit picky. But it seems to me like you should have the resources to do a great job here. 1. Why does the app not work in the background? If I send a request, I have to stay in the app to wait for it. That’s just horrible, and it’s completely unnecessary because you’re doing everything in the cloud anyway. Just finish processing and send a notification when you’re done, especially for browsing features. I don’t care if it takes 10 minutes to find the answer. I’d be glad if it’s browsing in the background. (To browse in the application as of May 24, start a conversation in the browser, select the browsing option, then switch back to the app. Browsing is still in beta, and you cannot select it directly in the application, which is fine.) 2. Please add the option to choose Chat GPT4 as a default. I never use GPT 3.5, and it’s annoying to have to switch every time. 3. Don’t let the speech-to-text button disappear once there is any text. If there is any text and speech recognition is started, just append. (The speech recognition is completely amazing, congratulations!) As soon as those features are ready, I’ll be glad to give five stars. Thank you very much.",1,rosshannah,48,23,Flipkart,pt,Bahamas,4.3.6,Yes,doubt technology absolutely lifechanging especially don’t know thankful however i’m reviewing underlying technology i’m reviewing implementation io use hour day work i’m bit picky seems like resource great job app work background send request stay app wait that’s horrible it’s completely unnecessary you’re everything cloud anyway finish processing send notification you’re done especially browsing feature don’t care take minute find answer i’d glad it’s browsing background browse application may start conversation browser select browsing option switch back app browsing still beta cannot select directly application fine please add option choose chat gpt default never use gpt it’s annoying switch every time don’t let speechtotext button disappear text text speech recognition started append speech recognition completely amazing congratulation soon feature ready i’ll glad give five star thank much,127,app review,app review doubt technology absolutely lifechanging especially don’t know thankful however i’m reviewing underlying technology i’m reviewing implementation io use hour day work i’m bit picky seems like resource great job app work background send request stay app wait that’s horrible it’s completely unnecessary you’re everything cloud anyway finish processing send notification you’re done especially browsing feature don’t care take minute find answer i’d glad it’s browsing background browse application may start conversation browser select browsing option switch back app browsing still beta cannot select directly application fine please add option choose chat gpt default never use gpt it’s annoying switch every time don’t let speechtotext button disappear text text speech recognition started append speech recognition completely amazing congratulation soon feature ready i’ll glad give five star thank much
02-05-2025,Almost perfect except for…,"Please provide a TABLET experience on iPad with the collapsible list of history on the left and chat on the right - similar to your desktop browser app. 2) while generating responses on the desktop browser, it pauses and keeps displaying “Continue generating responses” button for every few items/responses forcing to click the button repeatedly. During generation, there is a button to “Stop generating responses” - if we need to stop, we can always click this button - there is no need to pause and ask us to click continue again and again which is a bad UX. 3) there is no way to delete individual chat items from a chat history list of items to clean up the list. Eg: I open a chat history and it has 10 questions but I’m not able to delete 2 questions from this list on long tapping on the questions. 

4) if I ask for “top 20”, it generates just 10 answers and displays “please let me know if you’d like more “ but no option to generate more responses to the question. Either generate all 20 answers (ideally) or provide an option to continue generation.

Please provide options to delete questions from a history and also move questions/responses to another history. Please offer these features and I’ll gladly give it 5 stars. Cheers!",3,daniellemcfarland,190,18,App Store,ja,Italy,4.2.7,Yes,please provide tablet experience ipad collapsible list history left chat right similar desktop browser app generating response desktop browser pause keep displaying “continue generating responses” button every itemsresponses forcing click button repeatedly generation button “stop generating responses” need stop always click button need pause ask click continue bad way delete individual chat item chat history list item clean list open chat history question i’m able delete question list long tapping question ask “top generates answer display “please let know you’d like option generate response question either generate answer ideally provide option continue generation please provide option delete question history also move questionsresponses another history please offer feature i’ll gladly give star cheer,112,almost perfect except for…,almost perfect except for… please provide tablet experience ipad collapsible list history left chat right similar desktop browser app generating response desktop browser pause keep displaying “continue generating responses” button every itemsresponses forcing click button repeatedly generation button “stop generating responses” need stop always click button need pause ask click continue bad way delete individual chat item chat history list item clean list open chat history question i’m able delete question list long tapping question ask “top generates answer display “please let know you’d like option generate response question either generate answer ideally provide option continue generation please provide option delete question history also move questionsresponses another history please offer feature i’ll gladly give star cheer
########,"Chat GPT: The Underrated Buddy in Your Pocket""","Chat GPT is seriously underrated, dude! I mean, this mobile app is a total game-changer for everyday life. It's like having a super smart buddy in your pocket, ready to give you answers, explanations, and insights on anything you throw at it. Got a burning question? Boom, Chat GPT's got your back, no problemo!

But wait, there's more! This app is also an awesome conversation partner. When you're itching for a chat, even if your buddies are busy, Chat GPT's got you covered. And the best part? It's always there, ready to shoot the breeze whenever and wherever, right on your mobile.

You know what else? Chat GPT adapts to your needs, man. Need help making decisions? It's got your back. Want some creative inspiration? It's got that too. This app is like a Swiss Army knife, always ready with the right tool for the job. And as you use it, you're not just getting answers, you're also growing your brain with the cool stuff you learn along the way.

So, let's give it up for Chat GPT, the unsung hero of mobile apps! It's time to appreciate how it makes our lives easier, more interesting, and way more fun. Cheers to Chat GPT, bro!

*I wrote this review with only about 3 or 4 prompts using Chat GPT 🤣 this should show you the power of this mobile app. I definitely will be getting the premium version soon. I just wish the interface was more entertaining however it’s basic interface helps you focus on the task at hand*",4,joanramos,128,29,Website,zh,Brunei Darussalam,1.7.1,No,chat gpt seriously underrated dude mean mobile app total gamechanger everyday life like super smart buddy pocket ready give answer explanation insight anything throw got burning question boom chat gpts got back problemo wait there app also awesome conversation partner youre itching chat even buddy busy chat gpts got covered best part always ready shoot breeze whenever wherever right mobile know else chat gpt adapts need man need help making decision got back want creative inspiration got app like swiss army knife always ready right tool job use youre getting answer youre also growing brain cool stuff learn along way let give chat gpt unsung hero mobile apps time appreciate make life easier interesting way fun cheer chat gpt bro wrote review prompt using chat gpt show power mobile app definitely getting premium version soon wish interface entertaining however it’s basic interface help focus task hand,146,chat gpt underrated buddy pocket,chat gpt underrated buddy pocket chat gpt seriously underrated dude mean mobile app total gamechanger everyday life like super smart buddy pocket ready give answer explanation insight anything throw got burning question boom chat gpts got back problemo wait there app also awesome conversation partner youre itching chat even buddy busy chat gpts got covered best part always ready shoot breeze whenever wherever right mobile know else chat gpt adapts need man need help making decision got back want creative inspiration got app like swiss army knife always ready right tool job use youre getting answer youre also growing brain cool stuff learn along way let give chat gpt unsung hero mobile apps time appreciate make life easier interesting way fun cheer chat gpt bro wrote review prompt using chat gpt show power mobile app definitely getting premium version soon wish interface entertaining however it’s basic interface help focus task hand
########,Nice and quick!,"On this app, as opposed to on the website, it feels like answers appear quicker. That’s great, and really the reason I downloaded the app because I suspected there may be a better connection to the servers.
My complaints are that it takes two taps to get to the history, and it’s not overly obvious how to access it. I like to be able to continue past conversations easily, and it was slightly more difficult on this app than on the website. (It’s kind of a nitpick, but it’s still something I would like to see changed)
The UI is extremely simple, and the settings include everything I would want in there. My last complaint is the haptics. It’s default is on, and I wouldn’t mind that except that it’s a little excessive. I don’t want to feel like chatGPT is banging the answer on the back of my phone every time I prompt it. You can turn haptics off if you want though, without even needing to go into the settings app.

Other than those minor complaints, it seems like this is a great app, and serves its purpose in an elegant manner. I would highly recommend.",5,millskatherine,184,21,Flipkart,ja,Burkina Faso,2.1.7,No,app opposed website feel like answer appear quicker that’s great really reason downloaded app suspected may better connection server complaint take two tap get history it’s overly obvious access like able continue past conversation easily slightly difficult app website it’s kind nitpick it’s still something would like see changed extremely simple setting include everything would want last complaint haptics it’s default wouldn’t mind except it’s little excessive don’t want feel like chatgpt banging answer back phone every time prompt turn haptics want though without even needing setting app minor complaint seems like great app serf purpose elegant manner would highly recommend,101,nice quick,nice quick app opposed website feel like answer appear quicker that’s great really reason downloaded app suspected may better connection server complaint take two tap get history it’s overly obvious access like able continue past conversation easily slightly difficult app website it’s kind nitpick it’s still something would like see changed extremely simple setting include everything would want last complaint haptics it’s default wouldn’t mind except it’s little excessive don’t want feel like chatgpt banging answer back phone every time prompt turn haptics want though without even needing setting app minor complaint seems like great app serf purpose elegant manner would highly recommend
########,The app of all apps for AI,"There’s been times of apps touting they are chat GPT or they use chat GPT software but this is the original and only official chat GPT 4 app created by open AI so no need to pay for any other apps. They are constantly updating and adding features, and I suggest upgrading to plus and paying that cost so you can access plug-ins. The founders of this app and the whole team have done such a Incredible job. This is the only one you mean when it comes to AI 🤝this software has given everyone a level playing field pretty much and it’s gonna catch me to change everything. The time we’re living in now akin to the gold rush or the Industrial Revolution. Take advantage before it becomes Crowded. The power dynamics are shifting. Now that others are able to access information that was previously not available or very hard to access is there for everyone to make moves and better their lives. Instead of focusing on all the jobs that will be lost think about all the jobs that will be created or that you can create using this technology.",5,justin84,159,16,App Store,es,Isle of Man,3.8.6,No,there’s time apps touting chat gpt use chat gpt software original official chat gpt app created open need pay apps constantly updating adding feature suggest upgrading plus paying cost access plugins founder app whole team done incredible job one mean come 🤝this software given everyone level playing field pretty much it’s gonna catch change everything time we’re living akin gold rush industrial revolution take advantage becomes crowded power dynamic shifting others able access information previously available hard access everyone make move better life instead focusing job lost think job created create using technology,93,app apps,app apps there’s time apps touting chat gpt use chat gpt software original official chat gpt app created open need pay apps constantly updating adding feature suggest upgrading plus paying cost access plugins founder app whole team done incredible job one mean come 🤝this software given everyone level playing field pretty much it’s gonna catch change everything time we’re living akin gold rush industrial revolution take advantage becomes crowded power dynamic shifting others able access information previously available hard access everyone make move better life instead focusing job lost think job created create using technology
